sample_id,af_id,source_dataset,article_id,fact,llm_covered,llm_supporting_span,module_keep,module_reasoning,lay_summary,human_covered,human_notes,llm_judge_covered,llm_judge_confidence,llm_judge_supporting_evidence,llm_judge_reasoning,llm_judge_parse_error,agreement_llm_covered_vs_judge,agreement_module_keep_vs_judge,judge_error_type
exp2_human_020,exp2_elife_004_af_0180,eLife,exp2_elife_004,Ex vivo data suggest that the accumulation of indels in MMR-deficient tumors gradually impairs the DSBR by HR pathway to a level intermediate between cells heterozygous- and homozygous-deficient for BRCA1.,True,Zhao et al . also found that the indels in MMR-deficient tumors reduce the ability of the tumors to repair a type of DNA damage called double-strand breaks .,True,"This fact describes a key mechanistic relationship between genetic deficiencies in tumors and DNA repair pathways, which could be paraphrased for lay readers to explain how certain mutations affect tumor biology and treatment response.","Before a cell divides , it must first copy all of its genetic material . Any mistakes that are made during this process are called mutations . Mutations can give rise to new traits but are mostly harmful to the cells , or cause cancer; therefore , cells have evolved tools that can efficiently spot these mistakes and repair them . One of the main tools is called mismatch repair ( MMR ) . Defects in the cell's mismatch repair tools can wreak havoc as this allows many mutations to accumulate . Zhao et al . looked at the genomes of tumors where mismatch repair was not working properly to see what makes these ‘MMR-deficient tumors’ different from other tumors . This revealed that MMR-deficient tumors have similar patterns of mutations to those seen in egg and sperm cells . This was unexpected and suggests that mutations that are not corrected by mismatch repair are an important source of the genetic differences found between different humans , and between humans and their ancestors . Identifying cancerous tumors that are MMR-deficient is vital , as these tumors tend not to respond to commonly used cancer treatments . However , current clinical methods to identify MMR-deficient tumors often fail or produce results that are difficult to interpret . MMR-deficient tumors commonly contain mutations called indels , where short fragments of DNA are inserted or deleted into longer DNA sequences . Zhao et al . have found 59 indels that can be used to detect MMR-deficient tumors , where each indel had been identified in several tumors taken from different tissues . This new approach allowed MMR-deficiency to be identified in several types of tumor , including colon and ovarian cancers , with greater sensitivity and accuracy than the existing methods . Zhao et al . also found that the indels in MMR-deficient tumors reduce the ability of the tumors to repair a type of DNA damage called double-strand breaks . In these , both strands of DNA that make up the double helix are broken and the DNA chain is severed . As this kind of damage is very harmful to a cell , making more double-strand breaks could therefore form part of a more effective treatment against MMR-deficient tumors; further research is needed to investigate this possibility .",False,"The lay summary states that indels in MMR-deficient tumors reduce the ability to repair double-strand breaks, but it does not mention that this impairment is specifically in the homologous recombination (HR) pathway, nor does it compare the level of impairment to cells heterozygous- or homozygous-deficient for BRCA1. The core comparative and pathway-specific aspects of the atomic fact are missing.",False,medium,Zhao et al . also found that the indels in MMR-deficient tumors reduce the ability of the tumors to repair a type of DNA damage called double-strand breaks .,"The lay summary states that indels in MMR-deficient tumors reduce the ability to repair double-strand breaks, but it does not mention that this impairment is specifically in the homologous recombination (HR) pathway, nor does it compare the level of impairment to cells heterozygous- or homozygous-deficient for BRCA1. The core comparative and pathway-specific aspects of the atomic fact are missing.",False,False,False,not_dangerous_skip_by_judge
exp2_human_021,exp2_plos_003_af_0064,PLOS,exp2_plos_003,The three-dimensional rotations are repeated in different subspaces until convergence.,False,,False,This is a technical methodological detail about data processing that is unlikely to be relevant or understandable to lay readers and does not contribute to the main narrative of a lay summary.,"Proteins are flexible nanomachines that frequently accomplish their biological function by collective atomic motions . Such motions may be characterized by hinge , shear , or rotational motions of entire protein domains , loop movements , or subtle rearrangements of amino acid side chains . In many cases it is far from obvious how collective motions are related to a particular biological task . Therefore , we propose a novel technique termed “functional mode analysis” that , based on an ensemble of structures , aims to detect a collective motion that is directly related to a particular protein function . From the given set of protein structures , together with a “functional quantity” , the technique seeks the collective motion that is maximally correlated to the functional quantity . The chosen functional quantity can be quite general; typical examples could include the openness of a channel , active site geometry , or cleft solvent accessibility . Because the proposed framework is highly general , we expect the approach to be useful to a wide range of applications . To illustrate the new technique , we apply functional mode analysis to molecular dynamics trajectories of a polyalanine-helix , bacteriophage T4 lysozyme , Trp-cage , and Leucine-binding protein .",False,"The lay summary does not mention the process of three-dimensional rotations being repeated in different subspaces until convergence, nor does it describe any iterative or optimization procedure. It focuses on the general approach and applications of functional mode analysis without detailing the computational steps involved.",False,high,,"The lay summary does not mention the process of three-dimensional rotations being repeated in different subspaces until convergence, nor does it describe any iterative or optimization procedure. It focuses on the general approach and applications of functional mode analysis without detailing the computational steps involved.",False,True,True,not_dangerous_skip_by_judge
exp2_human_022,exp2_plos_003_af_0201,PLOS,exp2_plos_003,The maximally correlated motion can be biased to compute free energy differences between different functional states using methods such as umbrella sampling.,False,,True,"While technical, this fact relates to how researchers can study the energy differences between functional states, which could be paraphrased in a lay summary to explain how the study reveals differences between biological states using advanced computational methods.","Proteins are flexible nanomachines that frequently accomplish their biological function by collective atomic motions . Such motions may be characterized by hinge , shear , or rotational motions of entire protein domains , loop movements , or subtle rearrangements of amino acid side chains . In many cases it is far from obvious how collective motions are related to a particular biological task . Therefore , we propose a novel technique termed “functional mode analysis” that , based on an ensemble of structures , aims to detect a collective motion that is directly related to a particular protein function . From the given set of protein structures , together with a “functional quantity” , the technique seeks the collective motion that is maximally correlated to the functional quantity . The chosen functional quantity can be quite general; typical examples could include the openness of a channel , active site geometry , or cleft solvent accessibility . Because the proposed framework is highly general , we expect the approach to be useful to a wide range of applications . To illustrate the new technique , we apply functional mode analysis to molecular dynamics trajectories of a polyalanine-helix , bacteriophage T4 lysozyme , Trp-cage , and Leucine-binding protein .",False,"The lay summary describes the identification of maximally correlated motions and their relation to protein function, but it does not mention using these motions to compute free energy differences or the use of methods such as umbrella sampling. The specific application of biasing the motion for free energy calculations is omitted.",False,high,,"The lay summary describes the identification of maximally correlated motions and their relation to protein function, but it does not mention using these motions to compute free energy differences or the use of methods such as umbrella sampling. The specific application of biasing the motion for free energy calculations is omitted.",False,True,False,not_dangerous_skip_by_judge
exp2_human_023,exp2_elife_005_af_0295,eLife,exp2_elife_005,Quantitative measures of genetic relationships are important for controlling for the potential confounding effects of population structure when genome-wide data are unavailable.,False,,True,"This fact provides important background on why understanding genetic relationships matters in research, which could be paraphrased for lay readers to explain the study's motivation or approach.","Our genomes contain a record of historical events . This is because when groups of people are separated for generations , the DNA sequence in the two groups’ genomes will change in different ways . Looking at the differences in the genomes of people from the same population can help researchers to understand and reconstruct the historical interactions that brought their ancestors together . The mixing of two populations that were previously separate is known as admixture . Africa as a continent has few written records of its history . This means that it is somewhat unknown which important movements of people in the past generated the populations found in modern-day Africa . Busby et al . have now attempted to use DNA to look into this and reconstruct the last 4000 years of genetic history in African populations . As has been shown in other regions of the world , the new analysis showed that all African populations are the result of historical admixture events . However , Busby et al . could characterize these events to unprecedented level of detail . For example , multiple ethnic groups from The Gambia and Mali all show signs of sharing the same set of ancestors from West Africa , Europe and Asia who mixed around 2000 years ago . Evidence of a migration of people from Central West Africa , known as the Bantu expansion , could also be detected , and was shown to carry genes to the south and east . An important next step will be to now look at the consequences of the observed gene-flow , and ask if it has contributed to spreading beneficial , or detrimental , mutations around Africa .",False,"The lay summary discusses the use of genetic data to reconstruct historical admixture and migration events, but it does not mention the importance of quantitative measures of genetic relationships for controlling confounding effects of population structure, especially in the context of genome-wide data being unavailable. The specific methodological point about controlling for confounding is omitted.",False,high,,"The lay summary discusses the use of genetic data to reconstruct historical admixture and migration events, but it does not mention the importance of quantitative measures of genetic relationships for controlling confounding effects of population structure, especially in the context of genome-wide data being unavailable. The specific methodological point about controlling for confounding is omitted.",False,True,False,not_dangerous_skip_by_judge
exp2_human_024,exp2_plos_004_af_0037,PLOS,exp2_plos_004,Some of the dynein-specific suppressors encode proteins that may overlap with the dynein heavy chain in subcellular localization.,True,Many of the proteins that specifically influence dynein localized to subcellular sites where the dynein heavy chain has been reported by others to be found.,True,"This fact relates to the mechanism by which certain suppressor proteins may interact with or affect dynein function, which could plausibly be paraphrased in a lay summary to help explain how the study's findings contribute to understanding cellular processes.","Microtubules and microtubule-dependent motor proteins segregate chromosomes during mitosis and also promote cellular organization in nondividing cells . An essential motor protein complex called cytoplasmic dynein powers many aspects of microtubule-dependent transport , but it is currently unclear how dynein is regulated such that it can execute different processes . We have performed a genome-wide screen to isolate genes that are involved in dynein-dependent processes . We determined that 20 of the 49 genes we identified specifically influenced the viability of dynein mutant strains but not the viability of other C . elegans mutants . Many of the proteins that specifically influence dynein localized to subcellular sites where the dynein heavy chain has been reported by others to be found . Additionally , we identified four dynein components that appear to negatively regulate the force-generating dynein heavy chain . The identification and initial characterization of this group of genes represents a route to identify genes that are not themselves essential but do participate in essential processes .",True,"The lay summary explicitly states that many of the proteins influencing dynein (i.e., dynein-specific suppressors) localize to the same subcellular sites as the dynein heavy chain, which covers the core factual content of the atomic fact.",True,high,Many of the proteins that specifically influence dynein localized to subcellular sites where the dynein heavy chain has been reported by others to be found.,"The lay summary explicitly states that many of the proteins influencing dynein (i.e., dynein-specific suppressors) localize to the same subcellular sites as the dynein heavy chain, which covers the core factual content of the atomic fact.",False,True,True,not_dangerous_skip_by_judge
exp2_human_025,exp2_plos_002_af_0002,PLOS,exp2_plos_002,The ability of genetic variants to predict gene expression of unseen individuals has rarely been evaluated.,True,"However , their joint ability to accurately predict these changes is not well understood and has rarely been evaluated .",True,"This fact provides important background context about the novelty and significance of the study's approach, which helps lay readers understand why the research matters.","Variation in gene expression across different individuals has been found to play a role in susceptibility to different diseases . In addition , many genetic variants that are linked to changes in expression have been found to date . However , their joint ability to accurately predict these changes is not well understood and has rarely been evaluated . Here , we devise a method that uses multiple genetic variants to explain the variation in expression of genes across individuals . One important aspect of our method is its robustness , in that our predictions agree well between training and test sets . Thus , although the number of genes that could be explained is relatively small , the identity and quantitative degree to which genes can be predicted is known in advance . We also present an extension to our method that integrates different genomic annotations such as location of the genetic variant or its context to differentially weigh the genetic variants in our model and improve predictions . Finally , genes that are successfully predicted have , on average , higher expression and more variability across individuals , providing insight into the characteristics of the types of genes that can be predicted by our method .",True,"The lay summary explicitly states that the ability of genetic variants to predict gene expression has rarely been evaluated, which directly covers the atomic fact.",True,high,their joint ability to accurately predict these changes is not well understood and has rarely been evaluated,"The lay summary explicitly states that the ability of genetic variants to predict gene expression has rarely been evaluated, which directly covers the atomic fact.",False,True,True,not_dangerous_skip_by_judge
exp2_human_026,exp2_elife_004_af_0259,eLife,exp2_elife_004,"To assess negative selection in the exome, the study checked whether there was a lower mutation frequency in the exome relative to the whole-genome and whether the frequency of somatic mutations was more prominently decreased in the exome.",False,,True,"This fact describes a high-level approach used in the study to assess negative selection in the exome, which is relevant for lay readers to understand what the researchers did and why it matters, and can be paraphrased in lay-friendly terms.","Before a cell divides , it must first copy all of its genetic material . Any mistakes that are made during this process are called mutations . Mutations can give rise to new traits but are mostly harmful to the cells , or cause cancer; therefore , cells have evolved tools that can efficiently spot these mistakes and repair them . One of the main tools is called mismatch repair ( MMR ) . Defects in the cell's mismatch repair tools can wreak havoc as this allows many mutations to accumulate . Zhao et al . looked at the genomes of tumors where mismatch repair was not working properly to see what makes these ‘MMR-deficient tumors’ different from other tumors . This revealed that MMR-deficient tumors have similar patterns of mutations to those seen in egg and sperm cells . This was unexpected and suggests that mutations that are not corrected by mismatch repair are an important source of the genetic differences found between different humans , and between humans and their ancestors . Identifying cancerous tumors that are MMR-deficient is vital , as these tumors tend not to respond to commonly used cancer treatments . However , current clinical methods to identify MMR-deficient tumors often fail or produce results that are difficult to interpret . MMR-deficient tumors commonly contain mutations called indels , where short fragments of DNA are inserted or deleted into longer DNA sequences . Zhao et al . have found 59 indels that can be used to detect MMR-deficient tumors , where each indel had been identified in several tumors taken from different tissues . This new approach allowed MMR-deficiency to be identified in several types of tumor , including colon and ovarian cancers , with greater sensitivity and accuracy than the existing methods . Zhao et al . also found that the indels in MMR-deficient tumors reduce the ability of the tumors to repair a type of DNA damage called double-strand breaks . In these , both strands of DNA that make up the double helix are broken and the DNA chain is severed . As this kind of damage is very harmful to a cell , making more double-strand breaks could therefore form part of a more effective treatment against MMR-deficient tumors; further research is needed to investigate this possibility .",False,"The lay summary does not mention any analysis comparing mutation frequencies in the exome versus the whole genome, nor does it discuss decreased somatic mutation frequency in the exome. The summary focuses on mismatch repair, indels, and tumor identification, but omits the specific approach to assessing negative selection in the exome.",False,high,,"The lay summary does not mention any analysis comparing mutation frequencies in the exome versus the whole genome, nor does it discuss decreased somatic mutation frequency in the exome. The summary focuses on mismatch repair, indels, and tumor identification, but omits the specific approach to assessing negative selection in the exome.",False,True,False,not_dangerous_skip_by_judge
exp2_human_027,exp2_elife_003_af_0409,eLife,exp2_elife_003,"Eye motion in the anesthetized mouse has been previously confirmed to be small in the 40 millisecond time regime, relative to blood cell motion.",False,,True,"This fact provides relevant background about the stability of the mouse eye during experiments, which could help lay readers understand why measurements of blood cell motion are feasible and reliable, and could be paraphrased in a lay summary to support the study's methodological context.","The magical twinkling of the night sky is actually the result of imperfections in Earth's atmosphere . Turbulence in the air distorts the light as it passes through , causing it to bend , which blurs the image . To get a clear picture of distant objects , astronomers use a technique called 'adaptive optics' . Deformable mirrors , controlled by computers , bend the light back to correct the distortion . Now , biologists are borrowing the same technique to take a closer look at the blood vessels of the brain . At the moment , functional MRI is one of the most popular imaging techniques for measuring blood flow in the brain . But it can only achieve a resolution of around 1 millimetre , and the tiniest capillaries measure less than a hundredth of a millimetre across . These tiny vessels can be examined surgically , or by injecting dyes into the bloodstream , but these techniques carry a risk . As a result , scientists can only use them in experimental animals . One solution is to look at the vessel network in the back of the eye . The retina is part of the brain and , because the eye is transparent , its blood supply is much easier to see . But imperfections in the eye bend light and blur images of the cells , just like the Earth's atmosphere blurs images of the stars . This is where adaptive optics comes in . Using this technique , it becomes possible to see single red blood cells . Combining adaptive optics with high-speed video could allow us to track cells through the whole network of blood vessels in the eye . At the moment , blood flow measurement techniques either focus on the very big vessels , or the very small ones; they cannot get a complete picture of the whole interconnected system . Now , Joseph et al . have combined adaptive optics , ultrafast imaging , and a new algorithm to view the whole blood vessel network in the eye of a mouse . The new method can automatically measure single blood cells , even when they are moving at their highest possible speed . It can capture the full range of retinal vessels , from the smallest capillaries to the largest arteries and veins . And , by tracking millions of cells at a time , it can reveal how the pressure wave of the blood changes with each beat of the heart . The slightest disruption in blood flow to the brain can cause irreversible damage . So , measuring blood flow is crucial to understanding what happens when things go wrong . This new method is not invasive and uses safe levels of near-infrared light which the retina cannot see , making it safe to use in humans . Joseph et al . have already started their first studies in humans , and the baseline data they have obtained for healthy mice also provides a starting point for comparison with mice with genetic mutations or disease .",False,"The lay summary does not mention or imply anything about the magnitude of eye motion in anesthetized mice, nor does it compare eye motion to blood cell motion in the 40 millisecond time regime. The summary focuses on imaging techniques and their applications, but omits this specific prior finding.",False,high,,"The lay summary does not mention or imply anything about the magnitude of eye motion in anesthetized mice, nor does it compare eye motion to blood cell motion in the 40 millisecond time regime. The summary focuses on imaging techniques and their applications, but omits this specific prior finding.",False,True,False,not_dangerous_skip_by_judge
exp2_human_028,exp2_elife_005_af_0289,eLife,exp2_elife_005,"Within these groups, individuals display a spectrum of different ancestral backgrounds.",True,Looking at the differences in the genomes of people from the same population can help researchers to understand and reconstruct the historical interactions that brought their ancestors together.,True,"This fact provides important context about population diversity, which is often relevant for understanding the generalizability and implications of biomedical research findings in a lay summary.","Our genomes contain a record of historical events . This is because when groups of people are separated for generations , the DNA sequence in the two groups’ genomes will change in different ways . Looking at the differences in the genomes of people from the same population can help researchers to understand and reconstruct the historical interactions that brought their ancestors together . The mixing of two populations that were previously separate is known as admixture . Africa as a continent has few written records of its history . This means that it is somewhat unknown which important movements of people in the past generated the populations found in modern-day Africa . Busby et al . have now attempted to use DNA to look into this and reconstruct the last 4000 years of genetic history in African populations . As has been shown in other regions of the world , the new analysis showed that all African populations are the result of historical admixture events . However , Busby et al . could characterize these events to unprecedented level of detail . For example , multiple ethnic groups from The Gambia and Mali all show signs of sharing the same set of ancestors from West Africa , Europe and Asia who mixed around 2000 years ago . Evidence of a migration of people from Central West Africa , known as the Bantu expansion , could also be detected , and was shown to carry genes to the south and east . An important next step will be to now look at the consequences of the observed gene-flow , and ask if it has contributed to spreading beneficial , or detrimental , mutations around Africa .",True,"The summary explicitly mentions differences in genomes within the same population, which entails that individuals within groups display a spectrum of different ancestral backgrounds. This covers the core factual content of the atomic fact.",True,high,Looking at the differences in the genomes of people from the same population can help researchers to understand and reconstruct the historical interactions that brought their ancestors together.,"The summary explicitly mentions differences in genomes within the same population, which entails that individuals within groups display a spectrum of different ancestral backgrounds. This covers the core factual content of the atomic fact.",False,True,True,not_dangerous_skip_by_judge
exp2_human_029,exp2_plos_004_af_0048,PLOS,exp2_plos_004,"Suppressors that only acted on dhc-1, and not on lit-1 and spn-4 temperature-sensitive mutants, are referred to as dynein-specific suppressors.",True,We determined that 20 of the 49 genes we identified specifically influenced the viability of dynein mutant strains but not the viability of other C . elegans mutants .,True,"While technical, this fact could be paraphrased to explain that certain genetic changes specifically affect one protein's function and not others, which may be relevant for understanding the specificity of the study's findings in a lay summary.","Microtubules and microtubule-dependent motor proteins segregate chromosomes during mitosis and also promote cellular organization in nondividing cells . An essential motor protein complex called cytoplasmic dynein powers many aspects of microtubule-dependent transport , but it is currently unclear how dynein is regulated such that it can execute different processes . We have performed a genome-wide screen to isolate genes that are involved in dynein-dependent processes . We determined that 20 of the 49 genes we identified specifically influenced the viability of dynein mutant strains but not the viability of other C . elegans mutants . Many of the proteins that specifically influence dynein localized to subcellular sites where the dynein heavy chain has been reported by others to be found . Additionally , we identified four dynein components that appear to negatively regulate the force-generating dynein heavy chain . The identification and initial characterization of this group of genes represents a route to identify genes that are not themselves essential but do participate in essential processes .",True,"The lay summary explains that certain genes (suppressors) specifically affect dynein mutant strains but not other mutants, which matches the definition of 'dynein-specific suppressors' as those acting only on dhc-1 (dynein) and not on lit-1 or spn-4 mutants. The core factual content is clearly entailed.",True,high,20 of the 49 genes we identified specifically influenced the viability of dynein mutant strains but not the viability of other C. elegans mutants.,"The lay summary explains that certain genes (suppressors) specifically affect dynein mutant strains but not other mutants, which matches the definition of 'dynein-specific suppressors' as those acting only on dhc-1 (dynein) and not on lit-1 or spn-4 mutants. The core factual content is clearly entailed.",False,True,True,not_dangerous_skip_by_judge
exp2_human_030,exp2_elife_003_af_0486,eLife,exp2_elife_003,The standard deviation image that computes pixel variance over time revealed the erythrocyte column by way of motion contrast.,False,,True,"While the statement is technical, it describes a method for visualizing blood cells using motion contrast, which could be paraphrased in a lay summary to explain how researchers observed blood flow or cell movement, supporting the main narrative if visualization of blood cells is central to the study.","The magical twinkling of the night sky is actually the result of imperfections in Earth's atmosphere . Turbulence in the air distorts the light as it passes through , causing it to bend , which blurs the image . To get a clear picture of distant objects , astronomers use a technique called 'adaptive optics' . Deformable mirrors , controlled by computers , bend the light back to correct the distortion . Now , biologists are borrowing the same technique to take a closer look at the blood vessels of the brain . At the moment , functional MRI is one of the most popular imaging techniques for measuring blood flow in the brain . But it can only achieve a resolution of around 1 millimetre , and the tiniest capillaries measure less than a hundredth of a millimetre across . These tiny vessels can be examined surgically , or by injecting dyes into the bloodstream , but these techniques carry a risk . As a result , scientists can only use them in experimental animals . One solution is to look at the vessel network in the back of the eye . The retina is part of the brain and , because the eye is transparent , its blood supply is much easier to see . But imperfections in the eye bend light and blur images of the cells , just like the Earth's atmosphere blurs images of the stars . This is where adaptive optics comes in . Using this technique , it becomes possible to see single red blood cells . Combining adaptive optics with high-speed video could allow us to track cells through the whole network of blood vessels in the eye . At the moment , blood flow measurement techniques either focus on the very big vessels , or the very small ones; they cannot get a complete picture of the whole interconnected system . Now , Joseph et al . have combined adaptive optics , ultrafast imaging , and a new algorithm to view the whole blood vessel network in the eye of a mouse . The new method can automatically measure single blood cells , even when they are moving at their highest possible speed . It can capture the full range of retinal vessels , from the smallest capillaries to the largest arteries and veins . And , by tracking millions of cells at a time , it can reveal how the pressure wave of the blood changes with each beat of the heart . The slightest disruption in blood flow to the brain can cause irreversible damage . So , measuring blood flow is crucial to understanding what happens when things go wrong . This new method is not invasive and uses safe levels of near-infrared light which the retina cannot see , making it safe to use in humans . Joseph et al . have already started their first studies in humans , and the baseline data they have obtained for healthy mice also provides a starting point for comparison with mice with genetic mutations or disease .",False,"The lay summary discusses adaptive optics, ultrafast imaging, and a new algorithm for measuring blood flow and tracking red blood cells, but it does not mention or describe the use of a standard deviation image to compute pixel variance over time, nor does it explain that this reveals the erythrocyte column by way of motion contrast. The specific method of using temporal variance for motion contrast is omitted.",False,high,,"The lay summary discusses adaptive optics, ultrafast imaging, and a new algorithm for measuring blood flow and tracking red blood cells, but it does not mention or describe the use of a standard deviation image to compute pixel variance over time, nor does it explain that this reveals the erythrocyte column by way of motion contrast. The specific method of using temporal variance for motion contrast is omitted.",False,True,False,not_dangerous_skip_by_judge
exp2_human_031,exp2_elife_003_af_0282,eLife,exp2_elife_003,A challenge of the study is the inability to track velocity in all first-generation vessels around the optic disk due to the requirement of an optimal (~5–45°) angle between the vessel and the one-dimensional scanning beam.,False,,True,"This fact explains a limitation of the study's methodology in a way that could be paraphrased for lay readers to understand why some measurements could not be made, which is relevant for interpreting the study's findings and generalizability.","The magical twinkling of the night sky is actually the result of imperfections in Earth's atmosphere . Turbulence in the air distorts the light as it passes through , causing it to bend , which blurs the image . To get a clear picture of distant objects , astronomers use a technique called 'adaptive optics' . Deformable mirrors , controlled by computers , bend the light back to correct the distortion . Now , biologists are borrowing the same technique to take a closer look at the blood vessels of the brain . At the moment , functional MRI is one of the most popular imaging techniques for measuring blood flow in the brain . But it can only achieve a resolution of around 1 millimetre , and the tiniest capillaries measure less than a hundredth of a millimetre across . These tiny vessels can be examined surgically , or by injecting dyes into the bloodstream , but these techniques carry a risk . As a result , scientists can only use them in experimental animals . One solution is to look at the vessel network in the back of the eye . The retina is part of the brain and , because the eye is transparent , its blood supply is much easier to see . But imperfections in the eye bend light and blur images of the cells , just like the Earth's atmosphere blurs images of the stars . This is where adaptive optics comes in . Using this technique , it becomes possible to see single red blood cells . Combining adaptive optics with high-speed video could allow us to track cells through the whole network of blood vessels in the eye . At the moment , blood flow measurement techniques either focus on the very big vessels , or the very small ones; they cannot get a complete picture of the whole interconnected system . Now , Joseph et al . have combined adaptive optics , ultrafast imaging , and a new algorithm to view the whole blood vessel network in the eye of a mouse . The new method can automatically measure single blood cells , even when they are moving at their highest possible speed . It can capture the full range of retinal vessels , from the smallest capillaries to the largest arteries and veins . And , by tracking millions of cells at a time , it can reveal how the pressure wave of the blood changes with each beat of the heart . The slightest disruption in blood flow to the brain can cause irreversible damage . So , measuring blood flow is crucial to understanding what happens when things go wrong . This new method is not invasive and uses safe levels of near-infrared light which the retina cannot see , making it safe to use in humans . Joseph et al . have already started their first studies in humans , and the baseline data they have obtained for healthy mice also provides a starting point for comparison with mice with genetic mutations or disease .",False,"The lay summary claims the method can capture the full range of retinal vessels, but does not mention any limitation or challenge related to tracking velocity in all first-generation vessels around the optic disk, nor does it discuss the requirement for an optimal angle between the vessel and the scanning beam. The specific challenge described in the atomic fact is omitted.",False,high,"""It can capture the full range of retinal vessels, from the smallest capillaries to the largest arteries and veins.""","The lay summary claims the method can capture the full range of retinal vessels, but does not mention any limitation or challenge related to tracking velocity in all first-generation vessels around the optic disk, nor does it discuss the requirement for an optimal angle between the vessel and the scanning beam. The specific challenge described in the atomic fact is omitted.",False,True,False,not_dangerous_skip_by_judge
exp2_human_032,exp2_elife_001_af_0067,eLife,exp2_elife_001,Sodium action potentials are recruited during depolarizing current injections in Purkinje neurons (N = 5 cells in each condition).,False,,True,"While the mention of sodium action potentials and depolarizing current injections is technical, the fact that Purkinje neurons generate electrical signals in response to stimulation could be paraphrased for lay readers to help explain the study's approach or findings about neuron function.","Ever wonder how you keep your balance ? This is something that we learn to do as toddlers , and it involves the coordinated effort of various muscles in the body . An area at the base of the brain called the cerebellum controls this effort , and synchronizes our muscles by sending messages in the form of electrical signals along cells called Purkinje neurons . These signals consist of steady ‘tonic’ activity or short ‘bursts’ of activity . Previous studies in unconscious mammals suggest that these neurons can spontaneously switch between the two types of electrical signals . However , it is not clear whether this switch occurs in awake animals , or how these nerve activities control muscle movements . It is technically challenging to record the voltage of single Purkinje neurons of conscious rodents , so Sengupta and Thirumalai avoided this problem by using zebrafish larvae instead . These larvae are small , transparent and lack a skull , which makes it possible to record the activity of the cerebellum using tiny glass electrodes . The experiments show that even when the larvae are awake , the Purkinje cells produce either spontaneous bursts or tonic activity and they can readily switch between the two . The switch is controlled in part by the voltage on the neurons' surface . A positive voltage is called the ‘up’ state , while a negative voltage is dubbed the ‘down’ state . Neurons in the ‘up’ state produced tonic pulses , while neurons in the ‘down’ state produced short bursts of activity with the help of an ion channel called AMPAR . Cells called motor neurons in the spinal cord carry the final command from the nervous system to the muscles . Sengupta and Thirumalai recorded the activity of motor neurons and Purkinje neurons at the same time . This revealed that Purkinje neurons receive a copy of the motor command that goes to the muscle and produce short bursts of electrical activity in response . This effect required AMPAR activity , and was blocked by molecules that inhibit AMPAR . Furthermore , Sengupta and Thirumalai report that the timing of these short bursts with respect to the motor command changes from one Purkinje neuron to another . Future work will investigate how the Purkinje neurons receive and process the information in the motor command .",False,"The lay summary does not mention sodium action potentials or their recruitment during depolarizing current injections in Purkinje neurons. It discusses bursts and tonic activity, AMPAR channels, and voltage states, but omits any reference to sodium action potentials or the specific experimental manipulation (depolarizing current injections).",False,high,,"The lay summary does not mention sodium action potentials or their recruitment during depolarizing current injections in Purkinje neurons. It discusses bursts and tonic activity, AMPAR channels, and voltage states, but omits any reference to sodium action potentials or the specific experimental manipulation (depolarizing current injections).",False,True,False,not_dangerous_skip_by_judge
exp2_human_033,exp2_plos_004_af_0147,PLOS,exp2_plos_004,"In the authors' feeding RNA interference regimen, dyci-1 (RNAi) produces a larval arrest phenotype similar to that observed for dhc-1.",False,,True,"This fact describes a key experimental observation about gene function (dyci-1 and dhc-1) and their similar effects on development, which could be paraphrased for lay readers to support the study's main narrative about gene roles in larval development.","Microtubules and microtubule-dependent motor proteins segregate chromosomes during mitosis and also promote cellular organization in nondividing cells . An essential motor protein complex called cytoplasmic dynein powers many aspects of microtubule-dependent transport , but it is currently unclear how dynein is regulated such that it can execute different processes . We have performed a genome-wide screen to isolate genes that are involved in dynein-dependent processes . We determined that 20 of the 49 genes we identified specifically influenced the viability of dynein mutant strains but not the viability of other C . elegans mutants . Many of the proteins that specifically influence dynein localized to subcellular sites where the dynein heavy chain has been reported by others to be found . Additionally , we identified four dynein components that appear to negatively regulate the force-generating dynein heavy chain . The identification and initial characterization of this group of genes represents a route to identify genes that are not themselves essential but do participate in essential processes .",False,"The lay summary does not mention the specific RNAi regimen, nor does it state that dyci-1 (RNAi) produces a larval arrest phenotype similar to dhc-1. There is no discussion of phenotypes resulting from RNAi of these genes, so the core fact is omitted.",False,high,,"The lay summary does not mention the specific RNAi regimen, nor does it state that dyci-1 (RNAi) produces a larval arrest phenotype similar to dhc-1. There is no discussion of phenotypes resulting from RNAi of these genes, so the core fact is omitted.",False,True,False,not_dangerous_skip_by_judge
