run,model,variant,article_id,source_dataset,sentence_count,word_count,avg_wps,max_wps,mean_cli,mean_dcrs,high_risk_sentences
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0563,PLOS,22,256,11.636363636363637,15,,,2
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_1116,PLOS,16,219,13.6875,22,,,3
pilot_n20_v7_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_1309,PLOS,16,186,11.625,13,,,4
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0006,eLife,12,157,13.083333333333334,18,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0026,eLife,14,192,13.714285714285714,19,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0028,eLife,17,263,15.470588235294118,33,,,7
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0035,eLife,14,232,16.571428571428573,20,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0057,eLife,14,211,15.071428571428571,21,,,3
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0062,eLife,16,221,13.8125,19,,,5
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0070,eLife,16,220,13.75,18,,,3
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0163,eLife,10,169,16.9,31,,,0
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0188,eLife,15,242,16.133333333333333,22,,,5
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_elife_0189,eLife,12,190,15.833333333333334,21,,,1
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_0051,PLOS,13,176,13.538461538461538,19,,,1
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_0178,PLOS,17,268,15.764705882352942,25,,,4
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_0209,PLOS,13,255,19.615384615384617,29,,,6
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_0228,PLOS,17,255,15,24,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_0285,PLOS,14,223,15.928571428571429,22,,,4
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_0457,PLOS,13,221,17,27,,,1
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_0501,PLOS,16,251,15.6875,23,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_0563,PLOS,10,194,19.4,25,,,3
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_1116,PLOS,17,254,14.941176470588236,21,,,1
pilot_n20_v7_factuality_chase,gpt41_mini,generated,laysumm_plos_1309,PLOS,15,252,16.8,25,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0006,eLife,17,223,13.117647058823529,18,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0026,eLife,16,226,14.125,19,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0028,eLife,17,263,15.470588235294118,33,,,7
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0035,eLife,14,232,16.571428571428573,20,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0057,eLife,15,227,15.133333333333333,21,,,3
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0062,eLife,16,221,13.8125,19,,,5
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0070,eLife,16,227,14.1875,18,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0163,eLife,14,226,16.142857142857142,25,,,4
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0188,eLife,15,247,16.466666666666665,23,,,6
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0189,eLife,15,230,15.333333333333334,21,,,1
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0051,PLOS,13,181,13.923076923076923,21,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0178,PLOS,17,268,15.764705882352942,25,,,4
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0209,PLOS,13,247,19,29,,,6
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0228,PLOS,17,255,15,24,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0285,PLOS,14,222,15.857142857142858,22,,,4
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0457,PLOS,13,221,17,27,,,1
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0501,PLOS,16,258,16.125,23,,,2
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0563,PLOS,10,198,19.8,28,,,3
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_1116,PLOS,17,253,14.882352941176471,21,,,1
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,laysumm_plos_1309,PLOS,15,252,16.8,25,,,2
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0006,eLife,18,233,12.944444444444445,14,,,2
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0026,eLife,12,224,18.666666666666668,25,,,6
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0028,eLife,19,239,12.578947368421053,17,,,6
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0035,eLife,17,225,13.235294117647058,21,,,6
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0057,eLife,22,230,10.454545454545455,14,,,5
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0062,eLife,13,230,17.692307692307693,25,,,5
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0070,eLife,20,236,11.8,14,,,10
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0163,eLife,19,231,12.157894736842104,25,,,4
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0188,eLife,24,310,12.916666666666666,19,,,2
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_elife_0189,eLife,20,282,14.1,21,,,3
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0051,PLOS,16,236,14.75,18,,,2
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0178,PLOS,16,203,12.6875,14,,,3
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0209,PLOS,16,215,13.4375,16,,,5
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0228,PLOS,14,182,13,14,,,3
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0285,PLOS,14,237,16.928571428571427,21,,,7
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0457,PLOS,18,223,12.38888888888889,16,,,0
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0501,PLOS,15,258,17.2,22,,,7
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_0563,PLOS,14,189,13.5,15,,,1
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_1116,PLOS,16,208,13,15,,,4
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,generated,laysumm_plos_1309,PLOS,14,224,16,22,,,6
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0006,eLife,18,233,12.944444444444445,14,,,2
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0026,eLife,12,224,18.666666666666668,25,,,6
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0028,eLife,19,239,12.578947368421053,17,,,6
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0035,eLife,17,225,13.235294117647058,21,,,6
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0057,eLife,22,230,10.454545454545455,14,,,5
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0062,eLife,13,230,17.692307692307693,25,,,5
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0070,eLife,20,236,11.8,14,,,10
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0163,eLife,19,231,12.157894736842104,25,,,4
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0188,eLife,24,310,12.916666666666666,19,,,2
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_elife_0189,eLife,20,282,14.1,21,,,3
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0051,PLOS,16,236,14.75,18,,,2
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0178,PLOS,16,203,12.6875,14,,,3
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0209,PLOS,16,215,13.4375,16,,,5
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0228,PLOS,14,182,13,14,,,3
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0285,PLOS,14,237,16.928571428571427,21,,,7
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0457,PLOS,18,223,12.38888888888889,16,,,0
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0501,PLOS,15,258,17.2,22,,,7
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_0563,PLOS,14,189,13.5,15,,,1
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_1116,PLOS,16,208,13,15,,,4
pilot_n20_v8_factuality_chase,gemini3_flash_preview_minimal,rewritten,laysumm_plos_1309,PLOS,14,224,16,22,,,6
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0006,eLife,12,184,15.333333333333334,19,,,1
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0026,eLife,11,160,14.545454545454545,19,,,5
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0028,eLife,15,259,17.266666666666666,36,,,10
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0035,eLife,14,218,15.571428571428571,21,,,4
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0057,eLife,14,201,14.357142857142858,20,,,6
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0062,eLife,15,210,14,25,,,8
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0070,eLife,16,202,12.625,17,,,5
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0163,eLife,9,156,17.333333333333332,32,,,1
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0188,eLife,12,191,15.916666666666666,22,,,5
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_elife_0189,eLife,12,176,14.666666666666666,19,,,3
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_0051,PLOS,12,184,15.333333333333334,22,,,2
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_0178,PLOS,13,249,19.153846153846153,34,,,3
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_0209,PLOS,14,249,17.785714285714285,29,,,7
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_0228,PLOS,20,254,12.7,23,,,3
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_0285,PLOS,15,213,14.2,17,,,6
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_0457,PLOS,11,185,16.818181818181817,22,,,0
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_0501,PLOS,13,233,17.923076923076923,24,,,7
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_0563,PLOS,10,182,18.2,23,,,1
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_1116,PLOS,15,221,14.733333333333333,23,,,4
pilot_n20_v8_factuality_chase,gpt41_mini,generated,laysumm_plos_1309,PLOS,13,202,15.538461538461538,21,,,5
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0006,eLife,15,228,15.2,19,,,1
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0026,eLife,16,226,14.125,19,,,7
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0028,eLife,15,259,17.266666666666666,36,,,10
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0035,eLife,14,218,15.571428571428571,21,,,4
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0057,eLife,15,216,14.4,20,,,6
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0062,eLife,16,222,13.875,25,,,8
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0070,eLife,17,217,12.764705882352942,17,,,5
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0163,eLife,13,217,16.692307692307693,32,,,2
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0188,eLife,14,221,15.785714285714286,22,,,6
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_elife_0189,eLife,15,221,14.733333333333333,19,,,3
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0051,PLOS,12,175,14.583333333333334,19,,,1
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0178,PLOS,13,249,19.153846153846153,34,,,3
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0209,PLOS,14,249,17.785714285714285,29,,,7
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0228,PLOS,20,254,12.7,23,,,3
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0285,PLOS,15,213,14.2,17,,,6
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0457,PLOS,11,185,16.818181818181817,22,,,0
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0501,PLOS,13,233,17.923076923076923,24,,,7
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_0563,PLOS,10,182,18.2,23,,,1
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_1116,PLOS,15,221,14.733333333333333,23,,,4
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,laysumm_plos_1309,PLOS,13,202,15.538461538461538,21,,,5
