run,model,variant,final_score,relevance,readability,factuality,alignscore,summac
pilot_n20_v7_factuality_chase,gpt41_mini,rewritten,0.6133,0.6841,0.4891,0.6667,0.7884,0.7003
pilot_n20_v10_factuality_chase,gpt41_mini,generated,0.6125,0.5482,0.519,0.7702,0.8371,0.7509
pilot_n20_v10_factuality_chase,gemini3_flash_preview_minimal,generated,0.6117,0.6248,0.57,0.6402,0.7711,0.6916
pilot_n20_v7_factuality_chase,gpt41_mini,generated,0.6086,0.6449,0.5134,0.6675,0.7947,0.6955
pilot_n20_v10_factuality_chase,gemini3_flash_preview_minimal,rewritten,0.6075,0.6236,0.567,0.632,0.7732,0.6823
pilot_n20_v9_factuality_chase,gpt41_mini,rewritten,0.6037,0.5856,0.4771,0.7484,0.8205,0.7458
pilot_n20_v9_factuality_chase,gpt41_mini,generated,0.5994,0.5467,0.5005,0.7512,0.8216,0.7474
pilot_n20_v9_factuality_chase,gemini3_flash_preview_minimal,generated,0.5987,0.6156,0.5504,0.63,0.7745,0.6793
pilot_n20_v6_factuality_chase,gpt41_mini,rewritten,0.5975,0.6009,0.4797,0.7117,0.8128,0.7195
pilot_n20_v6_factuality_chase,gpt41_mini,generated,0.5965,0.6044,0.4848,0.7004,0.8071,0.7143
pilot_n20_v8_factuality_chase,gpt41_mini,rewritten,0.5921,0.6284,0.36,0.788,0.8589,0.7478
pilot_n20_v9_factuality_chase,gemini3_flash_preview_minimal,rewritten,0.5912,0.6122,0.5502,0.6111,0.7706,0.6657
pilot_n20_v8_factuality_chase,gpt41_mini,generated,0.5874,0.5888,0.3698,0.8036,0.8598,0.7611
pilot_n20_v5_factuality_chase,gemini3_flash_preview_minimal,generated,0.5608,0.8612,0.4033,0.4179,0.6545,0.5933
pilot_n20_v5_factuality_chase,gemini3_flash_preview_minimal,rewritten,0.5573,0.8715,0.3976,0.4028,0.6494,0.5842
pilot_n20_v5_factuality_chase,gpt41_mini,generated,0.5469,0.7397,0.3011,0.5999,0.7576,0.6671
pilot_n20_v5_factuality_chase,gpt41_mini,rewritten,0.5373,0.7294,0.2892,0.5934,0.7565,0.6621
pilot_n10_v3_factuality_chase,gemini3_flash_preview_minimal,generated,0.5366,0.4878,0.3547,0.7672,0.8247,0.7591
pilot_n10_v3_factuality_chase,gemini3_flash_preview_minimal,rewritten,0.5151,0.5098,0.3078,0.7277,0.8119,0.7347
pilot_n10_v3_factuality_chase,gpt41_mini,rewritten,0.4932,0.539,0.1672,0.7736,0.8231,0.7663
pilot_n10_v3_balanced,gemini3_flash_preview_minimal,rewritten,0.4898,0.7294,0.2876,0.4525,0.7021,0.5827
pilot_n10_v3_balanced,gpt41_mini,rewritten,0.4857,0.6309,0.1929,0.6333,0.7513,0.7028
pilot_n10_v3_factuality_chase,gpt41_mini,generated,0.4856,0.54,0.2086,0.7082,0.8231,0.7073
pilot_n10_v3_balanced,gemini3_flash_preview_minimal,generated,0.4821,0.697,0.2937,0.4555,0.7064,0.5816
pilot_n20_v2,gpt41_mini,rewritten,0.478,0.652,0.5397,0.2423,0.5759,0.5039
pilot_n20_v2,gpt41_mini,generated,0.4716,0.6578,0.5447,0.2123,0.5496,0.4999
pilot_n20_v1,gemini3_flash_preview_minimal,generated,0.4715,0.6847,0.5476,0.1822,0.5365,0.4843
pilot_n10_v3_balanced,gpt41_mini,generated,0.4624,0.6243,0.2504,0.5125,0.7098,0.6301
pilot_n10_v4_factuality_chase,gpt41_mini,rewritten,0.4517,0.6541,0.2127,0.4883,0.7075,0.6103
pilot_n20_v2,gemini3_flash_preview_minimal,generated,0.4468,0.7331,0.4684,0.139,0.5042,0.4736
pilot_n10_v4_factuality_chase,gpt41_mini,generated,0.4446,0.6375,0.213,0.4832,0.7121,0.6016
pilot_n20_v2,gemini3_flash_preview_minimal,rewritten,0.4436,0.7263,0.4561,0.1485,0.5137,0.4738
pilot_n10_v4_factuality_chase,gemini3_flash_preview_minimal,rewritten,0.4414,0.7346,0.2882,0.3015,0.6043,0.5323
pilot_n20_v1,gemini3_flash_preview_minimal,rewritten,0.436,0.6559,0.3897,0.2623,0.606,0.4954
pilot_n10_v4_factuality_chase,gemini3_flash_preview_minimal,generated,0.4276,0.7074,0.251,0.3245,0.6192,0.54
